counter 	logVelocity	linVelocity
1		126
2		126
3		126
4		126
5		126
6		126
7		125
8		125
9		125
10		125
11		125
12		125
13		125
14		125
15		125
16	126	125
17	124	124
18	123	124
19	121	124
20	120	124
21	118	124
22	117	124
23	116	124
24	114	124
25	113	124
26	112	124
27	111	123
28	110	123
29	109	123
30	108	123
31	107	123
32	106	123
33	105	123
34	104	123
35	103	123
36	103	123
37	102	122
38	101	122
39	100	122
40	100	122
41	99	122
42	98	122
43	97	122
44	97	122
45	96	122
46	96	122
47	95	121
48	94	121
49	94	121
50	93	121
51	93	121
52	92	121
53	91	121
54	91	121
55	90	121
56	90	121
57	89	120
58	89	120
59	88	120
60	88	120
61	87	120
62	87	120
63	86	120
64	86	120
65	86	120
66	85	120
67	85	119
68	84	119
69	84	119
70	83	119
71	83	119
72	83	119
73	82	119
74	82	119
75	81	119
76	81	119
77	81	118
78	80	118
79	80	118
80	80	118
81	79	118
82	79	118
83	78	118
84	78	118
85	78	118
86	77	118
87	77	117
88	77	117
89	76	117
90	76	117
91	76	117
92	76	117
93	75	117
94	75	117
95	75	117
96	74	117
97	74	116
98	74	116
99	73	116
100	73	116
101	73	116
102	73	116
103	72	116
104	72	116
105	72	116
106	71	116
107	71	115
108	71	115
109	71	115
110	70	115
111	70	115
112	70	115
113	70	115
114	69	115
115	69	115
116	69	115
117	69	114
118	68	114
119	68	114
120	68	114
121	68	114
122	67	114
123	67	114
124	67	114
125	67	114
126	66	114
127	66	113
128	66	113
129	66	113
130	66	113
131	65	113
132	65	113
133	65	113
134	65	113
135	64	113
136	64	113
137	64	112
138	64	112
139	64	112
140	63	112
141	63	112
142	63	112
143	63	112
144	63	112
145	62	112
146	62	112
147	62	111
148	62	111
149	62	111
150	61	111
151	61	111
152	61	111
153	61	111
154	61	111
155	60	111
156	60	111
157	60	110
158	60	110
159	60	110
160	60	110
161	59	110
162	59	110
163	59	110
164	59	110
165	59	110
166	58	110
167	58	109
168	58	109
169	58	109
170	58	109
171	58	109
172	57	109
173	57	109
174	57	109
175	57	109
176	57	109
177	57	108
178	56	108
179	56	108
180	56	108
181	56	108
182	56	108
183	56	108
184	56	108
185	55	108
186	55	108
187	55	107
188	55	107
189	55	107
190	55	107
191	54	107
192	54	107
193	54	107
194	54	107
195	54	107
196	54	107
197	54	106
198	53	106
199	53	106
200	53	106
201	53	106
202	53	106
203	53	106
204	53	106
205	52	106
206	52	106
207	52	105
208	52	105
209	52	105
210	52	105
211	52	105
212	51	105
213	51	105
214	51	105
215	51	105
216	51	105
217	51	104
218	51	104
219	50	104
220	50	104
221	50	104
222	50	104
223	50	104
224	50	104
225	50	104
226	50	104
227	49	103
228	49	103
229	49	103
230	49	103
231	49	103
232	49	103
233	49	103
234	49	103
235	48	103
236	48	103
237	48	102
238	48	102
239	48	102
240	48	102
241	48	102
242	48	102
243	47	102
244	47	102
245	47	102
246	47	102
247	47	101
248	47	101
249	47	101
250	47	101
251	47	101
252	46	101
253	46	101
254	46	101
255	46	101
256	46	101
257	46	100
258	46	100
259	46	100
260	46	100
261	45	100
262	45	100
263	45	100
264	45	100
265	45	100
266	45	100
267	45	99
268	45	99
269	45	99
270	44	99
271	44	99
272	44	99
273	44	99
274	44	99
275	44	99
276	44	99
277	44	98
278	44	98
279	44	98
280	43	98
281	43	98
282	43	98
283	43	98
284	43	98
285	43	98
286	43	98
287	43	97
288	43	97
289	42	97
290	42	97
291	42	97
292	42	97
293	42	97
294	42	97
295	42	97
296	42	97
297	42	96
298	42	96
299	42	96
300	41	96
301	41	96
302	41	96
303	41	96
304	41	96
305	41	96
306	41	96
307	41	95
308	41	95
309	41	95
310	40	95
311	40	95
312	40	95
313	40	95
314	40	95
315	40	95
316	40	95
317	40	94
318	40	94
319	40	94
320	40	94
321	39	94
322	39	94
323	39	94
324	39	94
325	39	94
326	39	94
327	39	93
328	39	93
329	39	93
330	39	93
331	39	93
332	38	93
333	38	93
334	38	93
335	38	93
336	38	93
337	38	92
338	38	92
339	38	92
340	38	92
341	38	92
342	38	92
343	38	92
344	37	92
345	37	92
346	37	92
347	37	91
348	37	91
349	37	91
350	37	91
351	37	91
352	37	91
353	37	91
354	37	91
355	37	91
356	36	91
357	36	90
358	36	90
359	36	90
360	36	90
361	36	90
362	36	90
363	36	90
364	36	90
365	36	90
366	36	90
367	36	89
368	36	89
369	35	89
370	35	89
371	35	89
372	35	89
373	35	89
374	35	89
375	35	89
376	35	89
377	35	88
378	35	88
379	35	88
380	35	88
381	35	88
382	34	88
383	34	88
384	34	88
385	34	88
386	34	88
387	34	87
388	34	87
389	34	87
390	34	87
391	34	87
392	34	87
393	34	87
394	34	87
395	33	87
396	33	87
397	33	86
398	33	86
399	33	86
400	33	86
401	33	86
402	33	86
403	33	86
404	33	86
405	33	86
406	33	86
407	33	85
408	33	85
409	32	85
410	32	85
411	32	85
412	32	85
413	32	85
414	32	85
415	32	85
416	32	85
417	32	84
418	32	84
419	32	84
420	32	84
421	32	84
422	32	84
423	31	84
424	31	84
425	31	84
426	31	84
427	31	83
428	31	83
429	31	83
430	31	83
431	31	83
432	31	83
433	31	83
434	31	83
435	31	83
436	31	83
437	31	82
438	30	82
439	30	82
440	30	82
441	30	82
442	30	82
443	30	82
444	30	82
445	30	82
446	30	82
447	30	81
448	30	81
449	30	81
450	30	81
451	30	81
452	30	81
453	30	81
454	29	81
455	29	81
456	29	81
457	29	80
458	29	80
459	29	80
460	29	80
461	29	80
462	29	80
463	29	80
464	29	80
465	29	80
466	29	80
467	29	79
468	29	79
469	29	79
470	28	79
471	28	79
472	28	79
473	28	79
474	28	79
475	28	79
476	28	79
477	28	78
478	28	78
479	28	78
480	28	78
481	28	78
482	28	78
483	28	78
484	28	78
485	28	78
486	27	78
487	27	77
488	27	77
489	27	77
490	27	77
491	27	77
492	27	77
493	27	77
494	27	77
495	27	77
496	27	77
497	27	76
498	27	76
499	27	76
500	27	76
501	27	76
502	27	76
503	26	76
504	26	76
505	26	76
506	26	76
507	26	75
508	26	75
509	26	75
510	26	75
511	26	75
512	26	75
513	26	75
514	26	75
515	26	75
516	26	75
517	26	74
518	26	74
519	26	74
520	26	74
521	25	74
522	25	74
523	25	74
524	25	74
525	25	74
526	25	74
527	25	73
528	25	73
529	25	73
530	25	73
531	25	73
532	25	73
533	25	73
534	25	73
535	25	73
536	25	73
537	25	72
538	25	72
539	25	72
540	24	72
541	24	72
542	24	72
543	24	72
544	24	72
545	24	72
546	24	72
547	24	71
548	24	71
549	24	71
550	24	71
551	24	71
552	24	71
553	24	71
554	24	71
555	24	71
556	24	71
557	24	70
558	24	70
559	23	70
560	23	70
561	23	70
562	23	70
563	23	70
564	23	70
565	23	70
566	23	70
567	23	69
568	23	69
569	23	69
570	23	69
571	23	69
572	23	69
573	23	69
574	23	69
575	23	69
576	23	69
577	23	68
578	22	68
579	22	68
580	22	68
581	22	68
582	22	68
583	22	68
584	22	68
585	22	68
586	22	68
587	22	67
588	22	67
589	22	67
590	22	67
591	22	67
592	22	67
593	22	67
594	22	67
595	22	67
596	22	67
597	22	66
598	22	66
599	21	66
600	21	66
601	21	66
602	21	66
603	21	66
604	21	66
605	21	66
606	21	66
607	21	65
608	21	65
609	21	65
610	21	65
611	21	65
612	21	65
613	21	65
614	21	65
615	21	65
616	21	65
617	21	64
618	21	64
619	21	64
620	20	64
621	20	64
622	20	64
623	20	64
624	20	64
625	20	64
626	20	64
627	20	63
628	20	63
629	20	63
630	20	63
631	20	63
632	20	63
633	20	63
634	20	63
635	20	63
636	20	63
637	20	62
638	20	62
639	20	62
640	20	62
641	20	62
642	19	62
643	19	62
644	19	62
645	19	62
646	19	62
647	19	61
648	19	61
649	19	61
650	19	61
651	19	61
652	19	61
653	19	61
654	19	61
655	19	61
656	19	61
657	19	60
658	19	60
659	19	60
660	19	60
661	19	60
662	19	60
663	19	60
664	18	60
665	18	60
666	18	60
667	18	59
668	18	59
669	18	59
670	18	59
671	18	59
672	18	59
673	18	59
674	18	59
675	18	59
676	18	59
677	18	58
678	18	58
679	18	58
680	18	58
681	18	58
682	18	58
683	18	58
684	18	58
685	18	58
686	18	58
687	18	57
688	17	57
689	17	57
690	17	57
691	17	57
692	17	57
693	17	57
694	17	57
695	17	57
696	17	57
697	17	56
698	17	56
699	17	56
700	17	56
701	17	56
702	17	56
703	17	56
704	17	56
705	17	56
